first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car
Farlie,Petford,Male,76,25-03-1968,Recruiting Manager,,High Net Worth,No
Mitchell,MacCague,Male,58,11-04-1979,,Manufacturing,Mass Customer,No
Garik,Whitwell,Male,44,13-06-1955,,Property,Mass Customer,Yes
Antonin,Britt,Male,64,28-08-1993,,Manufacturing,Affluent Customer,Yes
Vinny,Incogna,Female,73,13-02-1953,,Health,High Net Worth,No
Colene,Fishleigh,Female,24,14-03-1985,Design Engineer,Financial Services,Mass Customer,No
Neile,Argent,Female,79,25-10-1946,,Retail,Mass Customer,No
Corinna,Suggey,Female,52,18-09-1966,Design Engineer,,Affluent Customer,No
Brooke,Arling,Male,76,05-12-1961,,,High Net Worth,No
Gipsy,Ewestace,Female,29,30-08-1956,Business Systems Development Analyst,Retail,High Net Worth,Yes
Sheena,Kybbye,Female,14,16-07-1956,Paralegal,Financial Services,Affluent Customer,Yes
Jobina,Gobourn,Female,85,04-12-1994,VP Quality Control,,High Net Worth,Yes
Gale,Disbrow,Female,59,14-05-1977,Cost Accountant,Financial Services,Mass Customer,Yes
Thaxter,Kingsbury,Male,12,03-05-1950,Product Engineer,Argiculture,Mass Customer,No
Heinrick,Shilstone,Male,60,11-02-1978,,Manufacturing,Affluent Customer,No
Taylor,Steuhlmeyer,Male,62,22-03-1999,Paralegal,Financial Services,Affluent Customer,Yes
Griswold,Kelsall,Male,55,19-12-1993,Social Worker,Health,High Net Worth,Yes
Odessa,Mc Andrew,Female,97,01-12-1981,,Property,Mass Customer,No
Lavena,Seekings,Female,87,25-03-1995,Payment Adjustment Coordinator,Retail,Mass Customer,No
Martelle,Tuppeny,Female,52,03-02-1981,Marketing Assistant,Manufacturing,Mass Customer,No
Briant,Ladley,Male,75,17-12-1979,Recruiter,Argiculture,Mass Customer,No
Marylou,Kirkup,Female,51,31-10-1972,VP Product Management,,Mass Customer,No
Whittaker,,Male,64,29-07-1966,Media Manager III,,Mass Customer,Yes
Normy,Goodinge,U,5,,Associate Professor,IT,Mass Customer,No
Lorrie,Antonelli,Male,47,11-02-1983,Cost Accountant,Financial Services,High Net Worth,Yes
Jedediah,Kedie,Male,31,29-12-1971,Developer I,Argiculture,Mass Customer,Yes
Kaine,Smallcombe,Male,59,06-02-1942,Senior Financial Analyst,Financial Services,High Net Worth,No
Loise,Iltchev,Female,70,18-03-1967,Electrical Engineer,Manufacturing,High Net Worth,Yes
Cristen,Maroney,Female,22,21-11-1999,Accountant IV,IT,High Net Worth,Yes
Dorothy,Barnardo,Female,58,01-02-1983,Human Resources Manager,Retail,High Net Worth,No
Rosmunda,Duxbarry,Female,69,20-07-1996,Executive Secretary,Property,Affluent Customer,Yes
Rozamond,Riha,Female,54,07-10-1984,Account Representative I,Manufacturing,Affluent Customer,Yes
Gunner,Petti,Male,62,08-06-1999,Executive Secretary,Financial Services,High Net Worth,Yes
Vivienne,Crayden,Female,82,18-09-1988,Associate Professor,,High Net Worth,Yes
Sherilyn,Canero,Female,11,03-08-1996,Dental Hygienist,Health,High Net Worth,Yes
Bessie,Roscow,Female,78,04-08-1994,GIS Technical Architect,Financial Services,Mass Customer,No
Kevina,Ferandez,Female,73,21-09-1999,Assistant Professor,Financial Services,High Net Worth,No
Yancy,Clementet,Male,5,16-02-1968,Mechanical Systems Engineer,,High Net Worth,No
Mabelle,Wellbelove,Female,76,21-04-1958,,Financial Services,Affluent Customer,Yes
Hasheem,Groucock,Male,98,17-09-1974,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,Yes
Tobias,Woodhams,Male,0,15-04-1961,Research Nurse,Health,Mass Customer,No
Glennis,Flintoff,Female,36,22-10-1956,Speech Pathologist,Health,Affluent Customer,Yes
Chanda,Mensler,Female,15,14-01-1972,Computer Systems Analyst IV,Manufacturing,Mass Customer,Yes
Katheryn,Kinner,Female,15,28-11-1973,Analyst Programmer,Entertainment,High Net Worth,No
Sumner,Carrivick,Male,53,09-04-1995,Desktop Support Technician,Manufacturing,Mass Customer,No
Valerie,Pickover,Female,34,08-09-1965,Editor,Financial Services,Mass Customer,No
Esther,Rooson,Female,14,22-02-1981,,Financial Services,Mass Customer,No
Gardie,Crellim,Male,58,12-09-1975,Biostatistician IV,Manufacturing,High Net Worth,No
Sean,O'Loughlin,Male,48,22-03-1961,Database Administrator III,Manufacturing,High Net Worth,Yes
Pietra,Buckleigh,Female,9,29-04-1949,Engineer III,,High Net Worth,No
Marysa,Rouchy,Female,8,15-02-1999,Assistant Media Planner,Entertainment,Affluent Customer,No
Kahaleel,,Male,5,01-11-1942,GIS Technical Architect,,High Net Worth,No
Ossie,Midden,Male,49,10-02-1950,Physical Therapy Assistant,Manufacturing,Mass Customer,Yes
Sid,Carlone,Male,24,18-08-1971,Structural Engineer,Health,Affluent Customer,No
Ludovico,Juster,Male,93,19-04-1992,Environmental Specialist,,Affluent Customer,No
Patricia,Everix,Female,34,19-02-1978,Director of Sales,Health,Mass Customer,No
Andromache,Bonafacino,Female,84,01-09-1977,,Retail,Mass Customer,No
Levy,Abramamov,Male,94,21-09-1952,Teacher,,Affluent Customer,Yes
Nobe,McAughtry,Male,25,14-12-1978,,,Mass Customer,No
Jehu,Prestedge,Male,91,20-10-1999,,Manufacturing,High Net Worth,Yes
Symon,Mawne,Male,18,08-02-1943,Human Resources Assistant IV,Property,Mass Customer,Yes
Karlik,Penchen,Male,60,31-10-1994,Nurse Practicioner,Retail,Mass Customer,No
Bengt,Bilson,Male,26,02-11-1972,Structural Engineer,Manufacturing,High Net Worth,No
Evangelin,Boc,Female,30,09-05-2000,Structural Analysis Engineer,Manufacturing,High Net Worth,Yes
Hanny,Treven,Female,84,22-01-1991,Associate Professor,Retail,Mass Customer,No
Gina,Mallon,Female,56,11-02-1994,Dental Hygienist,Health,Mass Customer,No
Reynold,Elman,Male,19,18-01-1940,Marketing Manager,Manufacturing,Mass Customer,No
Flossy,Concannon,Female,64,20-10-1980,Staff Accountant IV,Financial Services,Affluent Customer,No
Cristen,Wiltshire,Female,59,20-10-1961,VP Sales,Financial Services,High Net Worth,Yes
Griffith,Escot,Male,50,23-10-1946,Accountant III,IT,Mass Customer,Yes
Jamie,Jiruca,Female,21,16-06-1963,Recruiting Manager,Argiculture,Mass Customer,No
Lyon,Brittan,Male,14,23-04-1972,Sales Representative,Retail,High Net Worth,No
Aridatha,Sephton,Female,95,22-10-1961,Human Resources Assistant II,,Mass Customer,No
Michal,Bryan,Female,1,09-11-1969,,Manufacturing,Mass Customer,Yes
Franciska,Stigell,Female,95,15-11-1968,Food Chemist,Health,Mass Customer,Yes
Jordan,Clampe,Male,37,09-12-1939,Staff Scientist,Financial Services,Mass Customer,Yes
David,Napoleon,Male,72,05-11-1961,Structural Engineer,,High Net Worth,No
Meriel,Tapp,Female,0,13-08-1995,VP Sales,IT,Mass Customer,No
Dolley,Starmont,Female,53,08-11-1977,Geologist IV,Manufacturing,Affluent Customer,No
Frederik,Milan,Male,45,13-11-1997,,Health,Mass Customer,No
Rollo,Louedey,Male,64,09-07-1946,Information Systems Manager,Telecommunications,Affluent Customer,Yes
Jerrine,Cosbey,Female,21,11-01-1978,Junior Executive,Financial Services,High Net Worth,Yes
Roddy,Rubinshtein,Male,37,08-10-1987,Nurse Practicioner,Retail,Mass Customer,Yes
Viki,Coutts,Female,2,14-12-1952,Automation Specialist II,Property,Mass Customer,Yes
Ashby,Bispham,Male,71,29-10-1981,Software Consultant,Retail,Affluent Customer,No
Alexander,Broadbent,Male,57,28-05-1997,Desktop Support Technician,,Mass Customer,No
Teddy,Lagadu,Female,86,20-07-1969,Design Engineer,,High Net Worth,No
Peria,Rantoull,Female,3,13-03-1975,Financial Analyst,Financial Services,Mass Customer,No
Ludvig,Andren,Male,44,22-02-1941,Media Manager III,,High Net Worth,Yes
Elsworth,Abbitt,Male,71,08-02-1956,,Health,Mass Customer,Yes
Rebeca,Aggas,Female,66,27-02-1953,Social Worker,Health,Affluent Customer,No
Ricki,Dobrowski,Male,13,10-03-1975,Civil Engineer,Manufacturing,Mass Customer,Yes
Georgetta,Lovett,Female,42,02-02-1940,Editor,Retail,Mass Customer,No
Bambi,Cogger,Female,51,12-07-1990,Design Engineer,Retail,Affluent Customer,Yes
Aurie,Rhead,Female,78,28-07-1962,Geological Engineer,Manufacturing,Affluent Customer,Yes
Farris,Skettles,Male,38,03-07-1965,Payment Adjustment Coordinator,,Mass Customer,Yes
Sharline,Abyss,Female,11,18-03-1960,,,Mass Customer,Yes
Nowell,Preddy,Male,29,23-07-1985,,Manufacturing,Mass Customer,No
Lacy,Drance,Female,27,05-02-1978,Graphic Designer,Manufacturing,Affluent Customer,Yes
Padraig,Snel,Male,89,08-11-1970,Staff Accountant II,,Mass Customer,No
Malorie,Votier,Female,90,29-05-1990,Graphic Designer,Manufacturing,Affluent Customer,No
Shepperd,Ricards,Male,28,27-09-1967,Social Worker,Health,Mass Customer,Yes
Daryl,Pauncefort,Female,12,18-06-1979,Community Outreach Specialist,Financial Services,Mass Customer,Yes
Norina,Blakeway,Female,60,11-02-1980,Programmer Analyst II,Property,Mass Customer,Yes
My,Chaston,Male,92,16-07-1966,Desktop Support Technician,Manufacturing,Affluent Customer,Yes
Isak,Bergstram,Male,14,08-03-2001,Pharmacist,Health,Affluent Customer,Yes
Grannie,Cracker,Male,28,06-03-1949,VP Marketing,Retail,Mass Customer,Yes
Welby,Lourenco,Male,6,27-12-1975,Senior Cost Accountant,Financial Services,High Net Worth,Yes
Glenn,Casbourne,Female,4,08-08-1981,Senior Editor,Manufacturing,Mass Customer,No
Nadiya,Balasini,Female,40,05-11-1950,Sales Associate,Financial Services,Mass Customer,No
Tyne,Coate,Female,82,15-07-1965,Developer II,Manufacturing,Mass Customer,No
Christie,Anders,Male,38,02-10-1969,VP Marketing,Retail,Mass Customer,No
Agnella,Capener,Female,58,21-05-1969,Teacher,Health,High Net Worth,No
Bernardine,Delmonti,Female,39,31-03-1971,,Property,Mass Customer,No
Daisy,Spowart,Female,60,18-12-1967,Staff Accountant I,Health,Affluent Customer,Yes
Denys,Minshall,Female,30,26-12-1961,Environmental Tech,Manufacturing,Affluent Customer,Yes
Archibald,Blessed,Male,61,10-02-1969,VP Sales,Financial Services,Mass Customer,Yes
Feodor,Englishby,Male,54,14-08-1961,Account Coordinator,Health,Mass Customer,No
Skippie,Yearsley,Male,6,04-09-1956,Compensation Analyst,Financial Services,Mass Customer,No
Bill,,Female,74,24-04-1963,Human Resources Assistant II,Property,Mass Customer,Yes
Tessa,Friese,Female,89,24-10-1976,Health Coach II,Financial Services,Mass Customer,No
Roseanne,Caruth,Female,16,25-05-1957,Programmer Analyst III,Health,Mass Customer,No
Tedra,Goodbanne,Female,4,15-01-1978,Senior Quality Engineer,,Mass Customer,Yes
Roberto,Harme,Male,27,11-06-1951,Environmental Tech,,High Net Worth,No
Nichole,Leisman,Male,37,07-08-1986,Geologist III,Property,Affluent Customer,No
Amil,Ennor,Female,23,04-08-1995,Health Coach II,Health,Mass Customer,Yes
Shawna,Hinrichsen,Female,60,27-08-1969,Assistant Professor,Manufacturing,Affluent Customer,Yes
Fonsie,Levane,Male,96,10-07-1951,Account Representative III,,High Net Worth,Yes
Emilie,Brody,Female,3,22-05-1979,Director of Sales,,Mass Customer,Yes
Robert,Corkill,Male,55,12-03-1976,Clinical Specialist,Health,Mass Customer,No
Elvira,Kurten,Female,65,18-03-1973,Assistant Professor,Financial Services,High Net Worth,No
Juliana,Mitchenson,Female,55,05-01-1989,Environmental Tech,Manufacturing,Mass Customer,Yes
Regine,Bownes,Female,99,01-07-1952,Senior Developer,Retail,Affluent Customer,No
Abner,Fraschetti,Male,33,23-01-1986,Staff Scientist,Argiculture,Affluent Customer,No
Alvira,Coulman,Female,42,05-06-1955,Account Representative II,,Affluent Customer,No
Sawyer,Sponton,Male,36,22-02-1956,Help Desk Technician,Property,Mass Customer,Yes
Feodor,Vickers,Male,60,18-11-1989,VP Quality Control,Financial Services,Mass Customer,Yes
Paten,Cayet,Male,56,19-02-1995,Assistant Manager,Manufacturing,Affluent Customer,Yes
Loria,Tappington,Female,72,06-09-1955,Research Assistant IV,Property,Mass Customer,No
Tanya,Kiefer,Female,54,05-07-1992,Speech Pathologist,Telecommunications,High Net Worth,No
Devonne,Alderwick,Female,79,29-01-1939,Research Associate,,High Net Worth,Yes
Omero,McDonand,Male,51,01-04-1952,Software Consultant,Manufacturing,Mass Customer,No
Iain,Haversham,Male,92,26-12-1950,Sales Representative,Retail,Mass Customer,Yes
Keriann,Newham,Female,71,26-03-1975,Assistant Manager,Financial Services,Mass Customer,No
Conroy,Rappaport,Male,39,08-01-1965,Assistant Manager,Health,High Net Worth,No
Dorian,Rustman,Male,78,09-12-1974,Junior Executive,Manufacturing,Mass Customer,No
Quillan,Guinane,Male,36,24-03-1946,Community Outreach Specialist,,High Net Worth,Yes
Harlin,Mazin,Male,34,25-03-1974,Computer Systems Analyst I,Manufacturing,Mass Customer,Yes
Eustacia,Dornan,Female,68,02-09-1985,Account Representative IV,Property,Mass Customer,No
Maury,Galego,Male,65,27-07-1992,Social Worker,Health,High Net Worth,Yes
Reggie,Kernar,Female,26,28-11-1971,Senior Editor,Financial Services,High Net Worth,No
Brigitte,Whellams,Female,67,09-05-1973,Payment Adjustment Coordinator,,Mass Customer,Yes
Kinna,Kollasch,Female,7,09-11-1986,Safety Technician I,Property,High Net Worth,No
Maurizio,Comi,Male,74,30-05-1996,VP Product Management,IT,Affluent Customer,No
Elbertina,Fendley,Female,32,27-03-1992,Physical Therapy Assistant,Property,Affluent Customer,No
Franklin,Wohler,Male,55,16-10-1938,Clinical Specialist,Health,Mass Customer,Yes
Allyson,Petchell,Female,16,19-03-1970,Human Resources Manager,Telecommunications,High Net Worth,No
Ermentrude,Heindle,Female,47,02-08-1969,GIS Technical Architect,Argiculture,Mass Customer,No
Alanna,Lerway,Female,26,05-01-1944,Dental Hygienist,Health,Mass Customer,Yes
Vincent,Jopke,Male,6,10-03-1972,Analog Circuit Design manager,Property,Affluent Customer,No
Mandie,Jeffryes,Female,60,16-02-1981,Business Systems Development Analyst,,High Net Worth,No
Collete,Dory,Female,66,09-01-1990,Information Systems Manager,,High Net Worth,No
Leonid,Dorricott,Male,44,18-11-1993,Environmental Tech,,Affluent Customer,No
Charlena,Berney,Female,55,02-01-1966,Geological Engineer,Manufacturing,High Net Worth,Yes
Alfonso,Massel,Male,70,05-12-1940,,,Mass Customer,Yes
Engracia,Dobbs,Female,84,19-04-1959,,Health,Mass Customer,No
Glyn,,Male,47,13-02-1945,General Manager,Manufacturing,Affluent Customer,Yes
Rosemonde,Cartwight,Female,44,20-10-1952,Analyst Programmer,Retail,Mass Customer,Yes
Alano,Satchel,Male,2,26-11-1998,Recruiting Manager,,Mass Customer,No
Corrine,Baribal,Female,19,12-10-1948,Senior Sales Associate,,Affluent Customer,Yes
Benoit,Harniman,Male,31,27-08-1976,Research Assistant II,Telecommunications,Affluent Customer,No
Jeanne,Darte,Female,70,18-08-1955,,,Mass Customer,Yes
Jenelle,Fearnill,Female,12,03-01-1958,Social Worker,Health,High Net Worth,No
Tannie,Gambrell,Male,92,25-05-1967,Financial Analyst,Financial Services,Affluent Customer,No
Mick,Macewan,Male,32,12-12-1967,Senior Cost Accountant,Financial Services,Mass Customer,No
Abbie,Oldman,Male,82,26-11-1983,,Health,High Net Worth,Yes
Tabbie,Curner,Male,12,13-03-1997,Chief Design Engineer,Retail,Mass Customer,No
Shane,Killen,Male,28,16-10-1956,Account Executive,Entertainment,High Net Worth,No
Roberta,Goodale,Female,9,28-02-1947,Information Systems Manager,Property,Mass Customer,Yes
Kippy,Barabisch,Male,11,07-04-2000,Legal Assistant,Manufacturing,Mass Customer,No
Rosalinde,Cubuzzi,Female,50,04-09-1997,Business Systems Development Analyst,,Mass Customer,No
Cami,Barnbrook,Female,8,01-01-1963,Occupational Therapist,Health,Affluent Customer,Yes
Dorian,Stollen,Male,78,16-02-1980,Statistician I,Financial Services,Mass Customer,Yes
Hunfredo,Hayball,Male,7,15-04-1994,,IT,Affluent Customer,No
Giorgi,O'Shirine,Male,68,20-06-1981,Payment Adjustment Coordinator,Retail,Mass Customer,Yes
Kort,Disley,Male,66,05-02-1979,Technical Writer,Health,Mass Customer,Yes
Gretna,Thredder,Female,62,08-01-1966,,,Mass Customer,No
Tobiah,Heinsius,Male,66,25-01-2000,Chief Design Engineer,Health,High Net Worth,No
Wallace,Newart,Male,91,06-12-1977,,IT,Mass Customer,No
Hersh,Stubbert,Male,0,25-06-2000,Technical Writer,Manufacturing,Mass Customer,Yes
Hatti,Carletti,U,35,,Legal Assistant,IT,Affluent Customer,Yes
Wyn,Saynor,Male,54,22-06-1964,Cost Accountant,Financial Services,High Net Worth,No
Maribeth,Stivani,Female,46,13-11-1954,Associate Professor,Financial Services,Mass Customer,No
Abigale,Sives,Female,48,13-12-1963,VP Marketing,Health,Affluent Customer,Yes
Gothart,Artus,Male,52,31-05-1978,Health Coach IV,Health,Mass Customer,Yes
Danny,Bodle,Male,50,24-09-1943,Statistician I,Manufacturing,Mass Customer,Yes
Vittorio,Boxen,Male,94,15-08-1965,Mechanical Systems Engineer,,Mass Customer,No
Deborah,Petrovsky,Female,53,14-07-1943,Teacher,Property,Mass Customer,No
Agace,Hedge,Female,25,23-07-1997,Media Manager II,,Mass Customer,Yes
Rolland,Esmead,Male,41,13-07-1940,,Health,Affluent Customer,No
Latrena,Walklate,Female,97,05-10-1943,Mechanical Systems Engineer,Telecommunications,High Net Worth,Yes
Mariquilla,Springthorpe,Female,30,04-04-1939,Director of Sales,,Mass Customer,Yes
Leticia,Danovich,Female,84,02-10-1941,Design Engineer,Entertainment,Mass Customer,Yes
Harman,Lynds,Male,4,27-05-1961,Professor,,Mass Customer,Yes
Farra,Matyushkin,Female,18,24-01-1974,VP Quality Control,Manufacturing,High Net Worth,Yes
Robenia,Monks,Female,94,08-05-1959,Nurse Practicioner,Manufacturing,Mass Customer,No
Roman,Eastwood,Male,57,21-09-1969,Associate Professor,Manufacturing,Affluent Customer,Yes
Solomon,Bruck,Male,29,15-11-1957,Junior Executive,Health,Mass Customer,No
Krystyna,Airey,Female,2,05-09-1950,Safety Technician II,,Mass Customer,Yes
Katharine,Redbourn,Female,8,11-09-1967,Recruiter,Manufacturing,Affluent Customer,Yes
Cammy,Stoneham,Female,74,02-05-1963,Business Systems Development Analyst,Financial Services,High Net Worth,No
Ellsworth,Andrieux,Male,49,26-04-1971,Senior Cost Accountant,Financial Services,Affluent Customer,Yes
Federico,Leuty,Male,59,11-12-1978,Product Engineer,Property,High Net Worth,Yes
Ferdy,Hornung,Male,57,14-05-1974,Analog Circuit Design manager,Entertainment,High Net Worth,No
Sunny,Christescu,Female,90,12-03-1975,Cost Accountant,Financial Services,Mass Customer,No
Shadow,Yakutin,Male,85,03-02-1967,Software Test Engineer IV,Health,Affluent Customer,Yes
Sharai,Priddie,Female,13,16-01-1961,Sales Representative,Retail,Mass Customer,No
Celeste,Fretson,Female,91,16-09-1980,Product Engineer,IT,Mass Customer,No
Lea,Ilyinski,Female,75,25-09-1997,Structural Analysis Engineer,Financial Services,High Net Worth,No
Dyann,Olechnowicz,Female,17,17-07-1939,Nuclear Power Engineer,Manufacturing,Mass Customer,No
Delly,Sunman,Female,49,11-04-1959,Account Coordinator,Retail,Mass Customer,No
Malvin,Ryhorovich,Male,37,03-03-1962,Quality Control Specialist,,Mass Customer,No
Tanya,Hamberston,Female,45,25-09-2000,Product Engineer,,Mass Customer,Yes
Kaela,Romaines,Female,41,27-11-1971,Geological Engineer,Manufacturing,High Net Worth,No
Evonne,Bembridge,Female,9,06-07-1969,Recruiting Manager,Retail,Mass Customer,Yes
Shannen,Lewin,Female,21,07-06-1991,Analog Circuit Design manager,Argiculture,High Net Worth,No
Bogey,Attew,Male,88,18-11-1992,Software Engineer II,IT,Mass Customer,Yes
Zondra,Ringham,Female,36,13-01-1948,Cost Accountant,Financial Services,Mass Customer,Yes
Barnebas,Apfel,Male,57,19-02-1996,Account Executive,Manufacturing,Affluent Customer,Yes
Alleen,Eaken,Female,56,31-08-1938,,,Mass Customer,No
Gerri,Schimann,Female,81,17-11-1969,Desktop Support Technician,Property,Mass Customer,Yes
Antonietta,Egle,Female,82,25-09-1973,Actuary,Financial Services,Mass Customer,No
Raff,Waycott,Male,70,16-12-1951,Engineer IV,Manufacturing,Affluent Customer,Yes
Lark,Gonet,Female,89,17-01-1972,Database Administrator II,Health,High Net Worth,No
Cletis,Longley,Male,84,01-07-1996,Chemical Engineer,Manufacturing,High Net Worth,Yes
Bartram,Di Lucia,Male,70,03-01-1961,,Argiculture,Mass Customer,Yes
Theresa,Cowper,Female,99,24-08-1976,Accountant III,Manufacturing,Mass Customer,No
Philbert,Raraty,Male,48,28-06-1956,Executive Secretary,Manufacturing,Mass Customer,No
Egon,Ortells,Male,35,11-06-1976,Structural Engineer,Manufacturing,Affluent Customer,No
Dahlia,Shovlar,Female,90,07-03-1966,Environmental Specialist,,Affluent Customer,Yes
Timi,Duny,Female,70,12-03-1953,Office Assistant II,Telecommunications,High Net Worth,No
Dominick,Asher,Male,50,06-10-1962,Research Associate,Health,Affluent Customer,Yes
Raye,Roo,Female,64,07-03-1976,Database Administrator I,Financial Services,Mass Customer,Yes
Becka,Hacon,Female,81,03-07-1965,General Manager,Financial Services,Affluent Customer,No
Cirillo,Frossell,Male,7,14-10-1968,Graphic Designer,,Mass Customer,No
Verla,Dumingos,Female,26,18-09-1971,Design Engineer,Telecommunications,Mass Customer,Yes
Sherrie,Godleman,Female,37,02-04-1978,Associate Professor,Manufacturing,Mass Customer,No
Dexter,Shutle,Male,81,05-01-1959,Quality Control Specialist,,Mass Customer,No
Konstanze,Hovie,Female,88,09-01-1967,Pharmacist,Health,Mass Customer,No
Bink,Bentje,Male,3,23-03-1957,Payment Adjustment Coordinator,Financial Services,High Net Worth,Yes
Taber,Szymon,Male,70,22-04-1947,Senior Sales Associate,Argiculture,Affluent Customer,No
Debbi,Dannatt,Female,2,28-12-1958,Technical Writer,,Affluent Customer,No
Giana,Staresmeare,Female,96,20-04-1976,Account Representative IV,Retail,Affluent Customer,Yes
Morton,Petkens,Male,50,13-11-1990,Account Coordinator,Manufacturing,High Net Worth,Yes
Vittoria,Whitney,Female,95,03-06-1981,Research Assistant I,,High Net Worth,No
Paquito,Atwood,Male,15,30-07-1972,Nuclear Power Engineer,Manufacturing,Affluent Customer,No
Dimitri,Tribbeck,Male,89,07-12-1958,Chief Design Engineer,,Affluent Customer,No
Shelli,Bartholomaus,Female,88,11-05-1963,Associate Professor,Health,Mass Customer,Yes
Kermit,Lebond,Male,36,01-02-1980,Financial Advisor,Financial Services,Mass Customer,No
Biddie,Gorce,Female,68,30-01-1988,Senior Financial Analyst,Financial Services,Mass Customer,Yes
Rupert,Marrow,Male,73,08-08-1970,,Property,High Net Worth,No
Geoff,Sitford,Male,97,27-02-1965,Account Executive,Financial Services,Mass Customer,Yes
Ange,Chitham,Female,91,14-02-1991,,Argiculture,Mass Customer,No
Tiphanie,Blackader,Female,59,08-10-1947,Physical Therapy Assistant,Retail,Mass Customer,No
Zollie,Crinidge,Male,39,10-01-1988,Systems Administrator I,Retail,Mass Customer,Yes
Daisy,Pollen,Female,97,09-08-1993,Cost Accountant,Financial Services,Mass Customer,No
Emelen,Bidnall,Male,79,05-08-1981,Systems Administrator IV,Health,Affluent Customer,Yes
Linette,Boman,Female,56,20-05-1949,Account Executive,,Affluent Customer,No
Manya,Abramovici,Female,42,17-07-1955,Quality Engineer,Financial Services,High Net Worth,Yes
Brynna,Tivers,Female,81,09-08-1974,Recruiting Manager,Financial Services,Mass Customer,No
Art,Carolan,Male,1,09-11-1954,Marketing Manager,,Affluent Customer,Yes
Alfi,Sabbins,Female,63,12-06-1959,,Financial Services,High Net Worth,Yes
Loleta,Aberdalgy,Female,45,15-02-1981,Occupational Therapist,Health,Mass Customer,No
Aldric,Birney,Male,21,19-08-1971,,Manufacturing,Mass Customer,Yes
Natividad,Balducci,Female,39,07-02-1991,,Property,High Net Worth,Yes
Claudine,Dymick,Female,28,13-12-1965,Design Engineer,Health,Mass Customer,No
Seamus,Cains,Male,61,15-12-1989,Teacher,Manufacturing,High Net Worth,No
Guss,Karim,Male,95,24-11-1968,Senior Sales Associate,Manufacturing,Mass Customer,No
